sms;atrib;atributo
854;57;Atributo_6
854;73;Atributo_7
854;896;Atributo_15
855;56;Atributo_5
855;57;Atributo_6
855;73;Atributo_7
855;896;Atributo_15
857;36;Atributo_49
857;37;Atributo_31
857;40;Atributo_16
857;53;Atributo_24
857;55;Atributo_32
857;64;Atributo_46
862;38;Atributo_4
863;26;Atributo_35
863;27;Atributo_36
863;588;Atributo_62
864;26;Atributo_35
864;27;Atributo_36
864;588;Atributo_62
865;26;Atributo_35
865;27;Atributo_36
865;588;Atributo_62
866;26;Atributo_35
866;27;Atributo_36
868;26;Atributo_35
868;27;Atributo_36
868;32;Atributo_37
869;40;Atributo_16
870;60;Atributo_17
870;652;Atributo_8
871;30;Atributo_2
871;31;Atributo_3
871;38;Atributo_4
872;30;Atributo_2
872;31;Atributo_3
872;38;Atributo_4
875;652;Atributo_8
875;898;Atributo_10
877;652;Atributo_8
877;898;Atributo_10
879;652;Atributo_8
881;652;Atributo_8
881;898;Atributo_10
884;898;Atributo_10
886;680;Atributo_100
886;898;Atributo_10
887;56;Atributo_5
887;73;Atributo_7
887;896;Atributo_15
889;652;Atributo_8
891;898;Atributo_10
892;898;Atributo_10
893;28;Atributo_1
893;33;Atributo_38
893;57;Atributo_6
893;73;Atributo_7
894;652;Atributo_8
894;898;Atributo_10
899;652;Atributo_8
900;652;Atributo_8
901;652;Atributo_8
902;32;Atributo_37
902;59;Atributo_50
902;470;Atributo_19
902;896;Atributo_15
903;32;Atributo_37
903;59;Atributo_50
903;470;Atributo_19
903;896;Atributo_15
904;26;Atributo_35
904;27;Atributo_36
904;896;Atributo_15
905;26;Atributo_35
905;27;Atributo_36
905;470;Atributo_19
905;896;Atributo_15
906;35;Atributo_22
906;37;Atributo_31
906;57;Atributo_6
908;36;Atributo_49
908;37;Atributo_31
908;40;Atributo_16
908;53;Atributo_24
910;628;Atributo_29
910;652;Atributo_8
913;4;Atributo_11
913;4;Atributo_11
913;5;Atributo_45
913;896;Atributo_15
917;898;Atributo_10
918;652;Atributo_8
918;898;Atributo_10
919;31;Atributo_3
920;807;Atributo_67
921;470;Atributo_19
921;652;Atributo_8
921;898;Atributo_10
923;38;Atributo_4
923;663;Atributo_63
924;663;Atributo_63
926;40;Atributo_16
927;559;Atributo_34
927;663;Atributo_63
927;829;Atributo_64
932;24;Atributo_48
932;55;Atributo_32
933;24;Atributo_48
933;55;Atributo_32
934;24;Atributo_48
934;55;Atributo_32
935;24;Atributo_48
935;55;Atributo_32
935;64;Atributo_46
936;57;Atributo_6
936;663;Atributo_63
937;24;Atributo_48
937;55;Atributo_32
937;64;Atributo_46
937;591;Atributo_59
938;24;Atributo_48
938;55;Atributo_32
938;64;Atributo_46
938;591;Atributo_59
939;24;Atributo_48
939;591;Atributo_59
940;24;Atributo_48
940;591;Atributo_59
942;24;Atributo_48
942;64;Atributo_46
943;870;Atributo_26
944;40;Atributo_16
944;53;Atributo_24
944;470;Atributo_19
947;55;Atributo_32
948;55;Atributo_32
949;55;Atributo_32
950;55;Atributo_32
951;55;Atributo_32
952;64;Atributo_46
955;4;Atributo_11
958;35;Atributo_22
958;628;Atributo_29
960;652;Atributo_8
960;898;Atributo_10
962;30;Atributo_2
962;470;Atributo_19
963;652;Atributo_8
963;898;Atributo_10
964;57;Atributo_6
964;896;Atributo_15
966;776;Atributo_102
968;523;Atributo_33
968;652;Atributo_8
969;807;Atributo_67
976;45;Atributo_39
977;31;Atributo_3
978;30;Atributo_2
978;31;Atributo_3
979;30;Atributo_2
979;31;Atributo_3
980;38;Atributo_4
981;30;Atributo_2
982;30;Atributo_2
982;31;Atributo_3
982;896;Atributo_15
984;30;Atributo_2
984;31;Atributo_3
987;30;Atributo_2
987;38;Atributo_4
989;701;Atributo_9
990;38;Atributo_4
990;599;Atributo_57
991;30;Atributo_2
991;31;Atributo_3
991;38;Atributo_4
992;31;Atributo_3
992;38;Atributo_4
993;30;Atributo_2
993;31;Atributo_3
995;30;Atributo_2
995;38;Atributo_4
996;652;Atributo_8
996;898;Atributo_10
997;30;Atributo_2
997;31;Atributo_3
997;38;Atributo_4
998;30;Atributo_2
998;31;Atributo_3
998;38;Atributo_4
999;30;Atributo_2
999;31;Atributo_3
999;38;Atributo_4
1000;38;Atributo_4
1000;599;Atributo_57
1002;38;Atributo_4
1002;599;Atributo_57
1003;38;Atributo_4
1003;599;Atributo_57
1004;30;Atributo_2
1004;38;Atributo_4
1005;38;Atributo_4
1005;599;Atributo_57
1005;663;Atributo_63
1006;30;Atributo_2
1006;31;Atributo_3
1006;38;Atributo_4
1006;599;Atributo_57
1006;663;Atributo_63
1007;30;Atributo_2
1007;31;Atributo_3
1007;38;Atributo_4
1007;599;Atributo_57
1007;663;Atributo_63
1008;38;Atributo_4
